ds,yhat
2024-11-17 10:25:00,10.726062
2024-11-17 10:30:00,11.399397
2024-11-17 10:35:00,11.493935
2024-11-17 10:40:00,11.921086
2024-11-17 10:45:00,11.339161
2024-11-17 10:50:00,11.370091
2024-11-17 10:55:00,11.946872
2024-11-17 11:00:00,11.446663
2024-11-17 11:05:00,11.554701
2024-11-17 11:10:00,11.796485
2024-11-17 11:15:00,11.958065
2024-11-17 11:20:00,11.986922
2024-11-17 11:25:00,12.020006
2024-11-17 11:30:00,12.058765
2024-11-17 11:35:00,11.686417
2024-11-17 11:40:00,11.626515
2024-11-17 11:45:00,11.34899
2024-11-17 11:50:00,11.022259
2024-11-17 11:55:00,10.949289
2024-11-17 12:00:00,11.068178
2024-11-17 12:05:00,10.559881
2024-11-17 12:10:00,10.731267
2024-11-17 12:15:00,10.7713
2024-11-17 12:20:00,10.611694
2024-11-17 12:25:00,10.820824
2024-11-17 12:30:00,10.79935
2024-11-17 12:35:00,11.396179
2024-11-17 12:40:00,10.189827
2024-11-17 12:45:00,10.442757
2024-11-17 12:50:00,9.947209
2024-11-17 12:55:00,9.76774
2024-11-17 13:00:00,9.473239
2024-11-17 13:05:00,9.170159
2024-11-17 13:10:00,9.097052
2024-11-17 13:15:00,9.708693
2024-11-17 13:20:00,8.788845
2024-11-17 13:25:00,9.482101
2024-11-17 13:30:00,8.893438
2024-11-17 13:35:00,8.582528
2024-11-17 13:40:00,8.698422
2024-11-17 13:45:00,8.468944
2024-11-17 13:50:00,8.388936
2024-11-17 13:55:00,8.51181
2024-11-17 14:00:00,8.458088
2024-11-17 14:05:00,8.693739
2024-11-17 14:10:00,8.747185
2024-11-17 14:15:00,8.616551
2024-11-17 14:20:00,8.912198
2024-11-17 14:25:00,8.6052475
2024-11-17 14:30:00,8.896472
2024-11-17 14:35:00,9.118504
2024-11-17 14:40:00,8.977805
2024-11-17 14:45:00,9.088562
2024-11-17 14:50:00,8.597753
2024-11-17 14:55:00,9.292024
2024-11-17 15:00:00,9.105329
2024-11-17 15:05:00,8.839409
2024-11-17 15:10:00,9.08862
2024-11-17 15:15:00,9.626904
2024-11-17 15:20:00,9.251893
2024-11-17 15:25:00,9.885912
2024-11-17 15:30:00,9.469043
2024-11-17 15:35:00,9.458122
2024-11-17 15:40:00,9.456796
2024-11-17 15:45:00,9.633389
2024-11-17 15:50:00,9.434988
2024-11-17 15:55:00,9.528277
2024-11-17 16:00:00,9.574172
2024-11-17 16:05:00,9.59173
2024-11-17 16:10:00,9.888971
2024-11-17 16:15:00,9.773415
2024-11-17 16:20:00,10.476036
2024-11-17 16:25:00,10.025281
2024-11-17 16:30:00,10.320938
2024-11-17 16:35:00,10.512763
2024-11-17 16:40:00,10.462223
2024-11-17 16:45:00,10.477916
2024-11-17 16:50:00,10.946841
2024-11-17 16:55:00,10.823075
2024-11-17 17:00:00,11.085995
2024-11-17 17:05:00,11.545498
2024-11-17 17:10:00,13.477587
2024-11-17 17:15:00,14.347508
2024-11-17 17:20:00,14.306597
2024-11-17 17:25:00,14.243072
2024-11-17 17:30:00,14.474109
2024-11-17 17:35:00,14.595786
2024-11-17 17:40:00,15.557655
2024-11-17 17:45:00,15.5189705
2024-11-17 17:50:00,15.207437
2024-11-17 17:55:00,15.202657
2024-11-17 18:00:00,14.816043
2024-11-17 18:05:00,13.610138
2024-11-17 18:10:00,13.892817
2024-11-17 18:15:00,13.433422
2024-11-17 18:20:00,12.814371
2024-11-17 18:25:00,12.871043
2024-11-17 18:30:00,12.44852
2024-11-17 18:35:00,12.117666
2024-11-17 18:40:00,11.985679
2024-11-17 18:45:00,11.280709
2024-11-17 18:50:00,10.890938
2024-11-17 18:55:00,10.350346
2024-11-17 19:00:00,10.290446
2024-11-17 19:05:00,10.250726
2024-11-17 19:10:00,10.211231
2024-11-17 19:15:00,10.116693
2024-11-17 19:20:00,10.117488
2024-11-17 19:25:00,9.540888
2024-11-17 19:30:00,9.16891
2024-11-17 19:35:00,8.806232
2024-11-17 19:40:00,9.072093
2024-11-17 19:45:00,8.815076
2024-11-17 20:00:00,8.669929
2024-11-17 20:05:00,8.597728
2024-11-17 20:10:00,8.347512
2024-11-17 20:15:00,7.6771135
2024-11-17 20:20:00,7.199153
2024-11-17 20:25:00,7.6827617
2024-11-17 20:30:00,6.721995
2024-11-17 20:35:00,6.4058623
2024-11-17 20:40:00,6.225308
2024-11-17 20:45:00,5.572144
2024-11-17 20:50:00,5.4909043
2024-11-17 20:55:00,5.430812
2024-11-17 21:00:00,5.1753664
2024-11-17 21:05:00,5.1284423
2024-11-17 21:10:00,4.502457
2024-11-17 21:15:00,4.513689
2024-11-17 21:20:00,4.2185607
2024-11-17 21:25:00,4.0396533
2024-11-17 21:30:00,3.8044693
2024-11-17 21:35:00,3.4439092
2024-11-17 21:40:00,3.2395172
2024-11-17 21:45:00,3.290945
2024-11-17 21:50:00,3.1723945
2024-11-17 21:55:00,3.3741837
2024-11-17 22:00:00,3.2628758
2024-11-17 22:05:00,2.9269257
2024-11-17 22:10:00,3.2208602
2024-11-17 22:15:00,2.9940305
2024-11-17 22:20:00,2.9927983
2024-11-17 22:25:00,2.8796206
2024-11-17 22:30:00,2.7942655
2024-11-17 22:35:00,2.6166553
2024-11-17 22:40:00,2.598252
2024-11-17 22:45:00,2.56322
2024-11-17 22:50:00,2.4701831
2024-11-17 22:55:00,2.4379177
2024-11-17 23:00:00,2.2899673
2024-11-17 23:05:00,2.3230066
2024-11-17 23:10:00,2.1757936
2024-11-17 23:15:00,2.3035142
2024-11-17 23:20:00,2.2434378
2024-11-17 23:25:00,2.1191058
2024-11-17 23:30:00,2.1056747
2024-11-17 23:35:00,2.0188465
2024-11-17 23:40:00,1.9615879
2024-11-17 23:45:00,1.885456
2024-11-17 23:50:00,1.8916496
2024-11-17 23:55:00,1.8056108
2024-11-18 00:00:00,1.9408345
2024-11-18 00:05:00,1.8340436
2024-11-18 00:10:00,2.0687191
2024-11-18 00:15:00,1.960923
2024-11-18 00:20:00,1.8230714
2024-11-18 00:25:00,1.7339531
2024-11-18 00:30:00,1.8050907
2024-11-18 00:35:00,1.7750331
2024-11-18 00:40:00,1.7466286
2024-11-18 00:45:00,1.7431481
2024-11-18 00:50:00,1.7010763
2024-11-18 00:55:00,1.7092998
2024-11-18 01:00:00,1.6890962
2024-11-18 01:05:00,1.6380111
2024-11-18 01:10:00,1.6385798
2024-11-18 01:15:00,1.7729453
2024-11-18 01:20:00,1.8152733
2024-11-18 01:25:00,1.7761458
2024-11-18 01:30:00,1.6208848
2024-11-18 01:35:00,1.5730462
2024-11-18 01:40:00,1.6536463
2024-11-18 01:45:00,1.7574744
2024-11-18 01:50:00,1.5361012
2024-11-18 01:55:00,1.6153837
2024-11-18 02:00:00,1.6180668
2024-11-18 02:05:00,1.5216124
2024-11-18 02:10:00,1.3935711
2024-11-18 02:15:00,1.5411371
2024-11-18 02:20:00,1.5252799
2024-11-18 02:25:00,1.4572753
2024-11-18 02:30:00,1.5984651
2024-11-18 02:35:00,1.5815735
2024-11-18 02:40:00,1.539382
2024-11-18 02:45:00,1.549053
2024-11-18 02:50:00,1.4793407
2024-11-18 02:55:00,1.5422868
2024-11-18 03:00:00,1.4659785
2024-11-18 03:05:00,1.4719706
2024-11-18 03:10:00,1.4708277
2024-11-18 03:15:00,1.5534962
2024-11-18 03:20:00,1.608619
2024-11-18 03:25:00,1.5124667
2024-11-18 03:30:00,1.4789692
2024-11-18 03:35:00,1.6320294
2024-11-18 03:40:00,1.566267
2024-11-18 03:45:00,1.4657438
2024-11-18 03:50:00,1.5986245
2024-11-18 03:55:00,1.5629641
2024-11-18 04:00:00,1.5351617
2024-11-18 04:05:00,1.5643235
2024-11-18 04:10:00,1.6795216
2024-11-18 04:15:00,1.691872
2024-11-18 04:20:00,1.822881
2024-11-18 04:25:00,1.8442706
2024-11-18 04:30:00,1.7072139
2024-11-18 04:35:00,1.7196488
2024-11-18 04:40:00,1.8429024
2024-11-18 04:45:00,1.8688118
